,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,1135461000.0,1132510000.0,1089327000.0,959613000.0
Gross Profit,265839000.0,253253000.0,218770000.0,195686000.0
Operating Income,75028000.0,71545000.0,51674000.0,40427000.0
EBIT,79566000.0,77926000.0,58099000.0,43318000.0
EBITDA,160259000.0,149202000.0,118191000.0,97125000.0
Pretax Income,63488000.0,64141000.0,46918000.0,34944000.0
Net Income,46222000.0,46526000.0,35204000.0,28307000.0
Diluted EPS,0.5386,0.4886,0.3194,0.2494
Interest Expense,16078000.0,13785000.0,11181000.0,8374000.0
Tax Provision,17549000.0,17205000.0,10258000.0,6441000.0
