,2025-11-30,2024-11-30,2023-11-30,2022-11-30
Total Revenue,6840300000.0,6723700000.0,6662200000.0,6350500000.0
Gross Profit,2592200000.0,2591000000.0,2502500000.0,2274500000.0
Operating Income,1091900000.0,1069800000.0,1024200000.0,917400000.0
EBIT,1109200000.0,1107700000.0,1006900000.0,961900000.0
EBITDA,1340500000.0,1316500000.0,1206200000.0,1162500000.0
Pretax Income,913000000.0,898300000.0,798700000.0,812800000.0
Net Income,789400000.0,788500000.0,680600000.0,682000000.0
Diluted EPS,2.93,2.92,2.52,2.52
Interest Expense,196200000.0,209400000.0,208200000.0,149100000.0
Tax Provision,195800000.0,184000000.0,174500000.0,168600000.0
