,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,3134459000.0,2856128000.0,2528920000.0,2248598000.0
Gross Profit,2584093000.0,2341746000.0,2082339000.0,1844257000.0
Operating Income,1713567000.0,1528518000.0,1384609000.0,1207640000.0
EBIT,1704145000.0,1541668000.0,1555740000.0,1215412000.0
EBITDA,1922715000.0,1747943000.0,1714959000.0,1357908000.0
Pretax Income,1494256000.0,1356168000.0,1369061000.0,1043841000.0
Net Income,1202305000.0,1109128000.0,1148592000.0,870573000.0
Diluted EPS,15.69,14.05,14.39,10.72
Interest Expense,209889000.0,185500000.0,186679000.0,171571000.0
Tax Provision,291951000.0,247040000.0,220469000.0,173268000.0
