,2026-06-30,2025-06-30,2024-06-30,2023-06-30
Total Revenue,331839000000.0,281724000000.0,245122000000.0,211915000000.0
Gross Profit,225465000000.0,193893000000.0,171008000000.0,146052000000.0
Operating Income,155237000000.0,128528000000.0,109433000000.0,88523000000.0
EBIT,168985000000.0,126012000000.0,110722000000.0,91279000000.0
EBITDA,207519000000.0,155445000000.0,131680000000.0,105140000000.0
Pretax Income,165934000000.0,123627000000.0,107787000000.0,89311000000.0
Net Income,133749000000.0,101832000000.0,88136000000.0,72361000000.0
Diluted EPS,17.95,13.64,11.8,9.68
Interest Expense,3051000000.0,2385000000.0,2935000000.0,1968000000.0
Tax Provision,32185000000.0,21795000000.0,19651000000.0,16950000000.0
