,2025-08-31,2024-08-31,2023-08-31,2022-08-31
Total Revenue,3769521000.0,3820951000.0,4009282000.0,3691893000.0
Gross Profit,1536135000.0,1572783000.0,1642965000.0,1558248000.0
Operating Income,312562000.0,404913000.0,491670000.0,474386000.0
EBIT,287641000.0,368519000.0,478699000.0,468731000.0
EBITDA,380058000.0,451393000.0,555020000.0,539369000.0
Pretax Income,263578000.0,342749000.0,456156000.0,451132000.0
Net Income,199328000.0,258594000.0,343233000.0,339786000.0
Diluted EPS,3.57,4.58,6.11,6.06
Interest Expense,24063000.0,25770000.0,22543000.0,17599000.0
Tax Provision,65742000.0,86792000.0,113049000.0,110650000.0
