,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,4026399000.0,3872361000.0,3788309000.0,3919709000.0
Gross Profit,2390646000.0,2325583000.0,2241286000.0,2308042000.0
Operating Income,1118490000.0,1127054000.0,1079683000.0,1126220000.0
EBIT,1117424000.0,1111854000.0,1051094000.0,1125984000.0
EBITDA,1243034000.0,1235075000.0,1172258000.0,1239007000.0
Pretax Income,1048909000.0,1037223000.0,973728000.0,1070592000.0
Net Income,869193000.0,863140000.0,788778000.0,872502000.0
Diluted EPS,42.05,40.48,35.9,38.41
Interest Expense,68515000.0,74631000.0,77366000.0,55392000.0
Tax Provision,179716000.0,174083000.0,184950000.0,198090000.0
