,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,8262000000.0,7400000000.0,6064000000.0,6226000000.0
Gross Profit,3489000000.0,2989000000.0,2546000000.0,2339000000.0
Operating Income,2433000000.0,1949000000.0,1806000000.0,1661000000.0
EBIT,2499000000.0,1847000000.0,1673000000.0,1595000000.0
EBITDA,3131000000.0,2460000000.0,1996000000.0,1853000000.0
Pretax Income,2145000000.0,1449000000.0,1401000000.0,1475000000.0
Net Income,1788000000.0,1117000000.0,1059000000.0,1125000000.0
Diluted EPS,3.09,1.93,2.08,2.26
Interest Expense,354000000.0,398000000.0,272000000.0,120000000.0
Tax Provision,358000000.0,334000000.0,344000000.0,352000000.0
