,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,175054000.0,172809000.0,170741000.0,164926000.0
Gross Profit,80665000.0,78954000.0,72176000.0,71021000.0
Operating Income,31710000.0,28861000.0,25193000.0,24602000.0
EBIT,29359000.0,24151000.0,24381000.0,13970000.0
EBITDA,31477000.0,26060000.0,26724000.0,18491000.0
Pretax Income,29190000.0,24034000.0,24258000.0,13836000.0
Net Income,21442000.0,17838000.0,18362000.0,11635000.0
Diluted EPS,0.5833,0.4881,0.5032,0.3182
Interest Expense,169000.0,117000.0,123000.0,134000.0
Tax Provision,7748000.0,6196000.0,5896000.0,2201000.0
