,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,13278000000.0,10984000000.0,8971000000.0,7245000000.0
Gross Profit,10295000000.0,8697000000.0,7050000000.0,5672000000.0
Operating Income,1824000000.0,1364000000.0,762000000.0,355000000.0
EBIT,2284000000.0,1761000000.0,762000000.0,355000000.0
EBITDA,3022000000.0,2325000000.0,1324000000.0,788000000.0
Pretax Income,2261000000.0,1738000000.0,1008000000.0,399000000.0
Net Income,1748000000.0,1425000000.0,1731000000.0,325000000.0
Diluted EPS,1.67,1.368,1.684,0.32
Interest Expense,23000000.0,23000000.0,24000000.0,27000000.0
Tax Provision,513000000.0,313000000.0,-723000000.0,74000000.0
