,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,2719500000.0,2510600000.0,2566500000.0,2569100000.0
Gross Profit,1486700000.0,1372700000.0,1440500000.0,1474800000.0
Operating Income,235800000.0,137200000.0,314900000.0,343200000.0
EBIT,213800000.0,-1038300000.0,8500000.0,322300000.0
EBITDA,364500000.0,-883800000.0,171100000.0,484400000.0
Pretax Income,177200000.0,-1084700000.0,-54900000.0,283900000.0
Net Income,47000000.0,-1118600000.0,-100200000.0,243100000.0
Diluted EPS,0.28,-6.5,-0.6,1.37
Interest Expense,36600000.0,46400000.0,63400000.0,38400000.0
Tax Provision,130200000.0,33900000.0,45300000.0,45900000.0
