,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,830538000.0,696395000.0,624208000.0,544416000.0
Gross Profit,334346000.0,278202000.0,240305000.0,192534000.0
Operating Income,12625000.0,-36187000.0,-28336000.0,-31240000.0
EBIT,30788000.0,-38456000.0,-24046000.0,-24330000.0
EBITDA,81703000.0,14306000.0,21734000.0,23149000.0
Pretax Income,11221000.0,-54318000.0,-31839000.0,-29569000.0
Net Income,-843000.0,-62314000.0,-30859000.0,-31819000.0
Diluted EPS,-0.14,-2.22,-1.57,-1.62
Interest Expense,19567000.0,15862000.0,7793000.0,5239000.0
Tax Provision,12064000.0,7996000.0,-980000.0,2250000.0
