,2026-03-31,2025-03-31,2024-03-31,2023-03-31
Total Revenue,423200000.0,443400000.0,470400000.0,444700000.0
Gross Profit,236000000.0,244300000.0,242400000.0,230200000.0
Operating Income,62800000.0,69500000.0,60600000.0,65900000.0
EBIT,61100000.0,40200000.0,73000000.0,75100000.0
EBITDA,80800000.0,61300000.0,93100000.0,95200000.0
Pretax Income,58500000.0,38200000.0,71300000.0,73500000.0
Net Income,48200000.0,26000000.0,50700000.0,58600000.0
Diluted EPS,0.837,0.443,0.865,1.003
Interest Expense,2600000.0,2000000.0,1700000.0,1600000.0
Tax Provision,14000000.0,13800000.0,20600000.0,14900000.0
