,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,1596577000.0,1738937000.0,2010303000.0,1990287000.0
Gross Profit,769516000.0,842586000.0,1007132000.0,1076294000.0
Operating Income,20865000.0,52449000.0,118815000.0,196079000.0
EBIT,22445000.0,54619000.0,121051000.0,197183000.0
EBITDA,79720000.0,117543000.0,187832000.0,257775000.0
Pretax Income,16227000.0,49127000.0,117436000.0,194366000.0
Net Income,9017000.0,28443000.0,77068000.0,139012000.0
Diluted EPS,0.029,0.09,0.243,0.435
Interest Expense,6218000.0,5492000.0,3615000.0,2817000.0
Tax Provision,7210000.0,20684000.0,40368000.0,55354000.0
