,2026-03-31,2025-03-31,2024-03-31,2023-03-31
Total Revenue,337008000.0,310714000.0,306367000.0,167723000.0
Gross Profit,149072000.0,136431000.0,147403000.0,103466000.0
Operating Income,72398000.0,52380000.0,60716000.0,50809000.0
EBIT,64602000.0,34739000.0,56590000.0,45292000.0
EBITDA,84896000.0,60031000.0,77255000.0,55769000.0
Pretax Income,55476000.0,26291000.0,48182000.0,42574000.0
Net Income,39333000.0,19191000.0,35687000.0,34710000.0
Diluted EPS,0.584,0.263,0.488,0.496
Interest Expense,9126000.0,8448000.0,8408000.0,2718000.0
Tax Provision,14307000.0,6991000.0,12495000.0,7864000.0
