,2026-05-31,2025-05-31,2024-05-31,2023-05-31
Total Revenue,6512000000.0,5571700000.0,5278300000.0,5007100000.0
Gross Profit,4837500000.0,4031300000.0,3799000000.0,3554100000.0
Operating Income,2510500000.0,2207700000.0,2174100000.0,2033100000.0
EBIT,2580400000.0,2281300000.0,2255300000.0,2084900000.0
EBITDA,3023000000.0,2490800000.0,2431800000.0,2261500000.0
Pretax Income,2310900000.0,2175900000.0,2218000000.0,2048200000.0
Net Income,1760100000.0,1657300000.0,1690400000.0,1557300000.0
Diluted EPS,4.89,4.58,4.67,4.3
Interest Expense,269500000.0,105400000.0,37300000.0,36700000.0
Tax Provision,550800000.0,518600000.0,527600000.0,490900000.0
