,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,93925000000.0,91854000000.0,91471000000.0,86392000000.0
Gross Profit,50859000000.0,50110000000.0,49590000000.0,45816000000.0
Operating Income,13491000000.0,12920000000.0,12913000000.0,11357000000.0
EBIT,11365000000.0,12865000000.0,12236000000.0,11644000000.0
EBITDA,15543000000.0,16680000000.0,15754000000.0,14924000000.0
Pretax Income,10244000000.0,11946000000.0,11417000000.0,10705000000.0
Net Income,8240000000.0,9578000000.0,9074000000.0,8910000000.0
Diluted EPS,6.0,6.95,6.56,6.42
Interest Expense,1121000000.0,919000000.0,819000000.0,939000000.0
Tax Provision,1949000000.0,2320000000.0,2262000000.0,1727000000.0
