,2026-06-30,2025-06-30,2024-06-30,2023-06-30
Total Revenue,87032000000.0,84284000000.0,84039000000.0,82006000000.0
Gross Profit,43670000000.0,43120000000.0,43191000000.0,39246000000.0
Operating Income,19748000000.0,20451000000.0,19886000000.0,18134000000.0
EBIT,21254000000.0,21074000000.0,19686000000.0,19109000000.0
EBITDA,24414000000.0,23921000000.0,22582000000.0,21823000000.0
Pretax Income,20377000000.0,20167000000.0,18761000000.0,18353000000.0
Net Income,16046000000.0,15974000000.0,14879000000.0,14653000000.0
Diluted EPS,6.62,6.51,6.02,5.9
Interest Expense,877000000.0,907000000.0,925000000.0,756000000.0
Tax Provision,4233000000.0,4102000000.0,3787000000.0,3615000000.0
