,2025-09-30,2024-09-30,2023-09-30,2022-09-30
Total Revenue,2739226000.0,2298472000.0,2097053000.0,1933347000.0
Gross Profit,2294243000.0,1853656000.0,1656047000.0,1547367000.0
Operating Income,998028000.0,587260000.0,458014000.0,483596000.0
EBIT,997196000.0,588615000.0,461983000.0,451366000.0
EBITDA,1132612000.0,730022000.0,599145000.0,573406000.0
Pretax Income,920177000.0,468962000.0,332566000.0,397098000.0
Net Income,733997000.0,376333000.0,245540000.0,313081000.0
Diluted EPS,6.08,3.12,2.06,2.65
Interest Expense,77019000.0,119653000.0,129417000.0,54268000.0
Tax Provision,186180000.0,92629000.0,87026000.0,84017000.0
