,2025-05-31,2024-05-31,2023-05-31,2022-05-31
Total Revenue,513800000.0,527900000.0,656300000.0,592800000.0
Gross Profit,206800000.0,131100000.0,257300000.0,227500000.0
Operating Income,47800000.0,-31400000.0,60100000.0,60500000.0
EBIT,23200000.0,-72600000.0,74200000.0,68100000.0
EBITDA,35300000.0,-55300000.0,93300000.0,88300000.0
Pretax Income,6500000.0,-95900000.0,61800000.0,64500000.0
Net Income,-5800000.0,-57000000.0,36400000.0,47900000.0
Diluted EPS,-0.0138,-0.136,0.0867,0.1152
Interest Expense,16700000.0,23300000.0,12400000.0,3600000.0
Tax Provision,11700000.0,-24100000.0,15400000.0,13100000.0
