,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,9590000000.0,9434000000.0,9161000000.0,8553000000.0
Gross Profit,6357000000.0,6134000000.0,5945000000.0,5508000000.0
Operating Income,2983000000.0,2818000000.0,2636000000.0,2304000000.0
EBIT,3023000000.0,2838000000.0,2595000000.0,2295000000.0
EBITDA,3686000000.0,3544000000.0,3312000000.0,3008000000.0
Pretax Income,2750000000.0,2557000000.0,2295000000.0,2113000000.0
Net Income,2065000000.0,1934000000.0,1781000000.0,1634000000.0
Diluted EPS,1.12,1.031,0.936,0.847
Interest Expense,273000000.0,281000000.0,300000000.0,182000000.0
Tax Provision,672000000.0,613000000.0,507000000.0,481000000.0
