,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,14205000000.0,14169000000.0,14607000000.0,14453000000.0
Gross Profit,8634000000.0,8595000000.0,8760000000.0,8361000000.0
Operating Income,3426000000.0,3439000000.0,3347000000.0,3402000000.0
EBIT,4261000000.0,2497000000.0,2710000000.0,3300000000.0
EBITDA,4760000000.0,2958000000.0,3180000000.0,3904000000.0
Pretax Income,3838000000.0,2104000000.0,2401000000.0,3067000000.0
Net Income,3182000000.0,1426000000.0,1643000000.0,2330000000.0
Diluted EPS,4.866667,2.116667,2.382292,3.382292
Interest Expense,423000000.0,393000000.0,309000000.0,233000000.0
Tax Provision,635000000.0,672000000.0,753000000.0,711000000.0
