,2025-11-30,2024-11-30,2023-11-30,2022-11-30
Total Revenue,162069000.0,166143000.0,175886000.0,214167000.0
Gross Profit,61872000.0,66653000.0,64251000.0,68504000.0
Operating Income,11213000.0,8226000.0,8836000.0,5644000.0
EBIT,9136000.0,-6506000.0,18031000.0,-18426000.0
EBITDA,13273000.0,-1319000.0,26400000.0,-11158000.0
Pretax Income,3212000.0,-12117000.0,12378000.0,-20787000.0
Net Income,2194000.0,-4737000.0,-29104000.0,-14499000.0
Diluted EPS,0.102,-0.057,-0.349,-0.174
Interest Expense,5924000.0,5611000.0,5653000.0,2361000.0
Tax Provision,1018000.0,-8250000.0,9824000.0,-4698000.0
