,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,3761050000.0,3388708000.0,3073278000.0,2695823000.0
Gross Profit,1984044000.0,1785511000.0,1603407000.0,1387424000.0
Operating Income,726068000.0,657224000.0,588422000.0,493388000.0
EBIT,729484000.0,657907000.0,605312000.0,501555000.0
EBITDA,854228000.0,771127000.0,705064000.0,592881000.0
Pretax Income,700926000.0,630230000.0,586257000.0,498917000.0
Net Income,526705000.0,466379000.0,434957000.0,368599000.0
Diluted EPS,1.09,0.96,0.89,0.75
Interest Expense,28558000.0,27677000.0,19055000.0,2638000.0
Tax Provision,174221000.0,163851000.0,151300000.0,130318000.0
