,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,7902500000.0,7039200000.0,6177800000.0,5371800000.0
Gross Profit,5472000000.0,4878300000.0,4307200000.0,3752800000.0
Operating Income,2235400000.0,1996800000.0,1745200000.0,1524500000.0
EBIT,2261100000.0,2226400000.0,1907800000.0,1474400000.0
EBITDA,3159300000.0,3039200000.0,2663000000.0,2124500000.0
Pretax Income,1936100000.0,1967200000.0,1743100000.0,1282000000.0
Net Income,1536300000.0,1549300000.0,1384200000.0,4544700000.0
Diluted EPS,14.2,14.35,12.89,42.55
Interest Expense,325000000.0,259200000.0,164700000.0,192400000.0
Tax Provision,399800000.0,417900000.0,374700000.0,296400000.0
