,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Total Revenue,777300000.0,754400000.0,719150000.0,641812000.0,
Gross Profit,388800000.0,371900000.0,339096000.0,291733000.0,
Operating Income,153400000.0,134300000.0,148152000.0,122359000.0,
EBIT,160200000.0,142700000.0,151940000.0,125362000.0,
EBITDA,181600000.0,163200000.0,169935000.0,148782000.0,
Pretax Income,157900000.0,140500000.0,150638000.0,124102000.0,
Net Income,115400000.0,103600000.0,113135000.0,93243000.0,
Diluted EPS,,0.121,0.132,0.108,0.092
Interest Expense,2300000.0,2200000.0,1302000.0,1260000.0,
Tax Provision,41000000.0,35700000.0,37150000.0,30901000.0,
