,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,16591000000.0,16032000000.0,14965000000.0,13511000000.0
Gross Profit,6961000000.0,6682000000.0,6022000000.0,5306000000.0
Operating Income,3322000000.0,3224000000.0,2809000000.0,2413000000.0
EBIT,3168000000.0,2971000000.0,2699000000.0,2227000000.0
EBITDA,5096000000.0,4755000000.0,4298000000.0,3668000000.0
Pretax Income,2594000000.0,2432000000.0,2191000000.0,1832000000.0
Net Income,2139000000.0,2043000000.0,1731000000.0,1488000000.0
Diluted EPS,6.85,6.49,5.47,4.69
Interest Expense,574000000.0,539000000.0,508000000.0,395000000.0
Tax Provision,455000000.0,388000000.0,460000000.0,344000000.0
