,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,6908000000.0,6617000000.0,6385000000.0,4494681172.925415
Gross Profit,5742000000.0,5528000000.0,5298000000.0,3642700681.342353
Operating Income,658000000.0,715000000.0,776000000.0,412678050.610546
EBIT,640000000.0,705000000.0,798000000.0,451404436.591594
EBITDA,1203000000.0,1353000000.0,1389000000.0,928223063.983251
Pretax Income,390000000.0,462000000.0,566000000.0,358219070.324697
Net Income,470000000.0,392000000.0,474000000.0,280766298.3626
Diluted EPS,0.1854,0.152331,0.191977,0.139294
Interest Expense,250000000.0,243000000.0,232000000.0,93185366.266897
Tax Provision,100000000.0,116000000.0,129000000.0,77452771.962097
