,2025-09-30,2024-09-30,2023-09-30,2022-09-30
Total Revenue,2513000000.0,2332000000.0,2184000000.0,1947000000.0
Gross Profit,2330000000.0,2164000000.0,2028000000.0,1809000000.0
Operating Income,530000000.0,452000000.0,315000000.0,333000000.0
EBIT,539000000.0,469000000.0,326000000.0,367000000.0
EBITDA,629000000.0,565000000.0,456000000.0,464000000.0
Pretax Income,484000000.0,426000000.0,282000000.0,337000000.0
Net Income,369000000.0,323000000.0,211000000.0,260000000.0
Diluted EPS,0.3716,0.3155,0.2043,0.2517
Interest Expense,55000000.0,43000000.0,44000000.0,30000000.0
Tax Provision,115000000.0,103000000.0,71000000.0,77000000.0
