,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,6164000000.0,5810000000.0,5549000000.0,5215000000.0
Gross Profit,4192000000.0,4046000000.0,3819000000.0,3675000000.0
Operating Income,857000000.0,860000000.0,620000000.0,634000000.0
EBIT,958000000.0,666000000.0,429000000.0,326000000.0
EBITDA,1532000000.0,1221000000.0,956000000.0,874000000.0
Pretax Income,779000000.0,498000000.0,290000000.0,235000000.0
Net Income,625000000.0,412000000.0,263000000.0,223000000.0
Diluted EPS,0.716,0.47,0.301,0.25
Interest Expense,179000000.0,168000000.0,139000000.0,91000000.0
Tax Provision,154000000.0,86000000.0,27000000.0,12000000.0
