,2025-10-31,2024-10-31,2023-10-31,2022-10-31
Total Revenue,7054178000.0,6127436000.0,5318014000.0,4615714000.0
Gross Profit,5430629000.0,4882147000.0,4287171000.0,3717701000.0
Operating Income,914927000.0,1355711000.0,1326330000.0,1159935000.0
EBIT,1839871000.0,1550687000.0,1308173000.0,1105150000.0
EBITDA,2500301000.0,1845752000.0,1555293000.0,1333555000.0
Pretax Income,1393142000.0,1513858000.0,1305470000.0,1103452000.0
Net Income,1332220000.0,2263380000.0,1229888000.0,984594000.0
Diluted EPS,8.04,14.51,7.92,6.29
Interest Expense,446729000.0,36829000.0,2703000.0,1698000.0
Tax Provision,55991000.0,99718000.0,90188000.0,139385000.0
