,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,15336000000.0,14208000000.0,12497000000.0,11181000000.0
Gross Profit,10773000000.0,9847000000.0,8356000000.0,7428000000.0
Operating Income,6177000000.0,5478000000.0,4054000000.0,3019000000.0
EBIT,6514000000.0,5605000000.0,4005000000.0,5006000000.0
EBITDA,7693000000.0,6778000000.0,5148000000.0,6019000000.0
Pretax Income,6227000000.0,5308000000.0,3671000000.0,4702000000.0
Net Income,4471000000.0,3852000000.0,2626000000.0,3248000000.0
Diluted EPS,14.66,12.35,8.23,10.2
Interest Expense,287000000.0,297000000.0,334000000.0,304000000.0
Tax Provision,1407000000.0,1141000000.0,778000000.0,1180000000.0
