,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,1579800000.0,1511200000.0,1359000000.0,1198500000.0
Gross Profit,716100000.0,683600000.0,624200000.0,538400000.0
Operating Income,119200000.0,124900000.0,126800000.0,92400000.0
EBIT,122100000.0,136700000.0,126100000.0,89800000.0
EBITDA,241700000.0,248900000.0,229700000.0,187700000.0
Pretax Income,18600000.0,38300000.0,34600000.0,3900000.0
Net Income,16400000.0,25400000.0,27300000.0,8600000.0
Diluted EPS,0.04,0.062,0.066,0.021
Interest Expense,103500000.0,98400000.0,91500000.0,85900000.0
Tax Provision,1400000.0,12300000.0,6700000.0,-4300000.0
