,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,1702900000.0,1665200000.0,1682600000.0,1610600000.0
Gross Profit,1308300000.0,1268700000.0,1280100000.0,1225500000.0
Operating Income,265400000.0,304600000.0,284400000.0,316800000.0
EBIT,273500000.0,315600000.0,295700000.0,324400000.0
EBITDA,375700000.0,419300000.0,408400000.0,405400000.0
Pretax Income,226500000.0,258900000.0,244500000.0,308100000.0
Net Income,163400000.0,191200000.0,183600000.0,224700000.0
Diluted EPS,2.212,2.589,2.489,3.044
Interest Expense,47000000.0,56700000.0,51200000.0,16300000.0
Tax Provision,62900000.0,67500000.0,60500000.0,83100000.0
