,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,4876800000.0,4787300000.0,4873800000.0,4534000000.0
Gross Profit,512800000.0,518600000.0,495500000.0,493500000.0
Operating Income,213900000.0,223800000.0,188800000.0,207600000.0
EBIT,248700000.0,132100000.0,275700000.0,219900000.0
EBITDA,470200000.0,326000000.0,448900000.0,391500000.0
Pretax Income,201500000.0,97000000.0,247000000.0,196800000.0
Net Income,145600000.0,44200000.0,202400000.0,155400000.0
Diluted EPS,0.1407,0.041,0.1793,0.1279
Interest Expense,47200000.0,35100000.0,28700000.0,23100000.0
Tax Provision,55900000.0,52500000.0,44600000.0,41800000.0
