,2025-06-30,2024-06-30,2023-06-30,2022-06-30
Total Revenue,790107000.0,720635000.0,741048000.0,735339000.0
Gross Profit,315248000.0,282001000.0,285096000.0,269946000.0
Operating Income,121886000.0,112292000.0,113372000.0,94311000.0
EBIT,92741000.0,99667000.0,169354000.0,87163000.0
EBITDA,128179000.0,127807000.0,197828000.0,116860000.0
Pretax Income,68810000.0,95123000.0,163949000.0,81289000.0
Net Income,55760000.0,73074000.0,138992000.0,61393000.0
Diluted EPS,4.64,6.14,11.58,5.06
Interest Expense,23931000.0,4544000.0,5405000.0,5874000.0
Tax Provision,11084000.0,21532000.0,24796000.0,19807000.0
