,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,2353000000.0,2253000000.0,2191000000.0,2115000000.0
Gross Profit,840000000.0,793000000.0,762000000.0,717000000.0
Operating Income,272000000.0,254000000.0,243000000.0,183000000.0
EBIT,295000000.0,274000000.0,159000000.0,167000000.0
EBITDA,410000000.0,388000000.0,276000000.0,294000000.0
Pretax Income,230000000.0,214000000.0,96000000.0,113000000.0
Net Income,186000000.0,167000000.0,74000000.0,103000000.0
Diluted EPS,0.242,0.213,0.093,0.13
Interest Expense,65000000.0,60000000.0,63000000.0,54000000.0
Tax Provision,61000000.0,63000000.0,40000000.0,36000000.0
