,2025-06-30,2024-06-30,2023-06-30,2022-06-30
Total Revenue,1219635000.0,1159060000.0,1136702000.0,1105599000.0
Gross Profit,790272000.0,769725000.0,769815000.0,756496000.0
Operating Income,242804000.0,246401000.0,290998000.0,295828000.0
EBIT,106972000.0,201425000.0,349874000.0,312695000.0
EBITDA,216875000.0,313136000.0,457112000.0,413764000.0
Pretax Income,98463000.0,185689000.0,338659000.0,301386000.0
Net Income,73400000.0,168105000.0,285263000.0,272051000.0
Diluted EPS,0.46,1.05,1.76,1.6575
Interest Expense,8509000.0,15736000.0,11215000.0,11309000.0
Tax Provision,25063000.0,17584000.0,53217000.0,38287000.0
