,2025-09-30,2024-09-30,2023-09-30,2022-09-30
Total Revenue,132474000.0,150203000.0,147397000.0,140185000.0
Gross Profit,34274000.0,43942000.0,44824000.0,39084000.0
Operating Income,9731000.0,18997000.0,18321000.0,15773000.0
EBIT,7248000.0,18610000.0,14310000.0,16517000.0
EBITDA,12756000.0,23676000.0,18986000.0,19208000.0
Pretax Income,7003000.0,17919000.0,13544000.0,16179000.0
Net Income,5064000.0,13857000.0,10942000.0,13315000.0
Diluted EPS,0.0836,0.2348,0.1791,0.2182
Interest Expense,245000.0,691000.0,766000.0,338000.0
Tax Provision,1939000.0,4062000.0,2602000.0,2864000.0
