,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,44557000000.0,42879000000.0,42857000000.0,44915000000.0
Gross Profit,18239000000.0,17702000000.0,17100000000.0,18971000000.0
Operating Income,8110000000.0,7717000000.0,7318000000.0,8507000000.0
EBIT,8727000000.0,8427000000.0,7673000000.0,8561000000.0
EBITDA,11507000000.0,11535000000.0,11079000000.0,11942000000.0
Pretax Income,7308000000.0,7037000000.0,6298000000.0,7835000000.0
Net Income,6704000000.0,6335000000.0,5995000000.0,6950000000.0
Diluted EPS,17.74,16.53,15.45,17.63
Interest Expense,1419000000.0,1390000000.0,1375000000.0,726000000.0
Tax Provision,547000000.0,657000000.0,284000000.0,703000000.0
