,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,261050000.0,210751000.0,176362000.0,148932000.0
Gross Profit,215868000.0,171633000.0,145448000.0,121995000.0
Operating Income,18119000.0,6480000.0,1068000.0,-14795000.0
EBIT,15623000.0,6803000.0,-58000.0,-14030000.0
EBITDA,27811000.0,17702000.0,8916000.0,-6672000.0
Pretax Income,14091000.0,5182000.0,-1944000.0,-15045000.0
Net Income,7758000.0,6234000.0,7109000.0,-14644000.0
Diluted EPS,0.018,0.014,0.016,-0.035
Interest Expense,1532000.0,1621000.0,1886000.0,1015000.0
Tax Provision,6333000.0,-1052000.0,-9053000.0,-401000.0
