,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,4576300000.0,4183800000.0,3831200000.0,3709900000.0
Gross Profit,2704300000.0,2510500000.0,2313900000.0,2324800000.0
Operating Income,864600000.0,733400000.0,617900000.0,626400000.0
EBIT,878800000.0,666300000.0,142900000.0,613900000.0
EBITDA,1453600000.0,1204100000.0,667300000.0,1132900000.0
Pretax Income,643000000.0,401100000.0,-145300000.0,383000000.0
Net Income,455400000.0,284400000.0,-206200000.0,266300000.0
Diluted EPS,2.32,1.45,-1.07,1.4
Interest Expense,235800000.0,265200000.0,288200000.0,230900000.0
Tax Provision,173100000.0,98800000.0,44700000.0,118900000.0
