,2025-09-30,2024-09-30,2023-09-30,2022-09-30
Total Revenue,5442590000.0,5198679000.0,4522550000.0,3504048000.0
Gross Profit,961344000.0,866440000.0,725029000.0,575559000.0
Operating Income,603607000.0,510416000.0,419922000.0,340775000.0
EBIT,418256000.0,508025000.0,453413000.0,362130000.0
EBITDA,476532000.0,581702000.0,514619000.0,389163000.0
Pretax Income,377617000.0,463466000.0,400978000.0,348766000.0
Net Income,247724000.0,333382000.0,273420000.0,263125000.0
Diluted EPS,0.93,1.23,1.02,0.972
Interest Expense,40639000.0,44559000.0,52435000.0,13364000.0
Tax Provision,129668000.0,130023000.0,127526000.0,85602000.0
