,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,50503000000.0,52479000000.0,51680000000.0,60073000000.0
Gross Profit,23709000000.0,24503000000.0,22500000000.0,24167000000.0
Operating Income,10127000000.0,10278000000.0,9275000000.0,9727000000.0
EBIT,9791000000.0,9370000000.0,9582000000.0,11126000000.0
EBITDA,11144000000.0,10740000000.0,10730000000.0,13072000000.0
Pretax Income,8693000000.0,8371000000.0,8627000000.0,10337000000.0
Net Income,9469000000.0,5744000000.0,6487000000.0,7642000000.0
Diluted EPS,4.32,2.57625,2.88,3.36375
Interest Expense,1098000000.0,999000000.0,955000000.0,789000000.0
Tax Provision,2481000000.0,2332000000.0,1990000000.0,2068000000.0
