,2025-09-30,2024-09-30,2023-09-30,2022-09-30
Total Revenue,40000000000.0,35926000000.0,32653000000.0,29310000000.0
Gross Profit,32145000000.0,28884000000.0,26086000000.0,23577000000.0
Operating Income,26556000000.0,24057000000.0,21927000000.0,19681000000.0
EBIT,24783000000.0,24557000000.0,21681000000.0,18674000000.0
EBITDA,26003000000.0,25591000000.0,22624000000.0,19535000000.0
Pretax Income,24194000000.0,23916000000.0,21037000000.0,18136000000.0
Net Income,20058000000.0,19743000000.0,17273000000.0,14957000000.0
Diluted EPS,10.2,9.73,8.28,7.0
Interest Expense,589000000.0,641000000.0,644000000.0,538000000.0
Tax Provision,4136000000.0,4173000000.0,3764000000.0,3179000000.0
