,2025-09-30,2024-09-30,2023-09-30,2022-09-30
Total Revenue,296400000.0,296200000.0,307000000.0,341000000.0
Gross Profit,132600000.0,134300000.0,162600000.0,174500000.0
Operating Income,39800000.0,45800000.0,73200000.0,88500000.0
EBIT,36200000.0,25100000.0,72900000.0,88000000.0
EBITDA,61100000.0,48300000.0,94400000.0,109600000.0
Pretax Income,33800000.0,23400000.0,72500000.0,87700000.0
Net Income,27800000.0,17200000.0,61700000.0,76200000.0
Diluted EPS,0.318,0.197,0.705,0.873
Interest Expense,2400000.0,1700000.0,400000.0,300000.0
Tax Provision,8900000.0,7600000.0,11500000.0,12200000.0
