,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,5503000000.0,5193000000.0,5021000000.0,4870000000.0
Gross Profit,3299000000.0,3105000000.0,2901000000.0,2760000000.0
Operating Income,1277000000.0,1208000000.0,1140000000.0,1112000000.0
EBIT,1269000000.0,1199000000.0,1126000000.0,1113000000.0
EBITDA,1347000000.0,1277000000.0,1213000000.0,1203000000.0
Pretax Income,1173000000.0,1086000000.0,1096000000.0,1113000000.0
Net Income,940000000.0,833000000.0,839000000.0,845000000.0
Diluted EPS,3.76,3.34,3.4,3.425213
Interest Expense,96000000.0,113000000.0,30000000.0,0.0
Tax Provision,233000000.0,253000000.0,257000000.0,268000000.0
