,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,3072700000.0,2881700000.0,2681400000.0,2497000000.0
Gross Profit,2147200000.0,1980600000.0,1804900000.0,1672400000.0
Operating Income,1343900000.0,1253900000.0,1131700000.0,1406500000.0
EBIT,1342200000.0,1353200000.0,1142700000.0,1401200000.0
EBITDA,1668900000.0,1659100000.0,1424100000.0,1741200000.0
Pretax Income,1171300000.0,1228600000.0,1027200000.0,1262400000.0
Net Income,908300000.0,957500000.0,614400000.0,954300000.0
Diluted EPS,6.48,6.71,4.17,6.0
Interest Expense,170900000.0,124600000.0,115500000.0,138800000.0
Tax Provision,263000000.0,277900000.0,258800000.0,220300000.0
