,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,9466915000.0,8919591000.0,8021951000.0,7211859000.0
Gross Profit,4011533000.0,3727885000.0,3277438000.0,2875847000.0
Operating Income,1819883000.0,1680671000.0,1475108000.0,1260420000.0
EBIT,1752467000.0,1089737000.0,1258143000.0,1251294000.0
EBITDA,2984573000.0,2253506000.0,2261354000.0,2170254000.0
Pretax Income,1417916000.0,762933000.0,983501000.0,1048963000.0
Net Income,1076557000.0,617573000.0,762800000.0,835662000.0
Diluted EPS,4.17,2.39,2.95,3.24
Interest Expense,334551000.0,326804000.0,274642000.0,202331000.0
Tax Provision,341359000.0,146363000.0,220675000.0,212962000.0
