,2026-01-31,2025-01-31,2024-01-31,2023-01-31
Total Revenue,9552000000.0,8446000000.0,7259000000.0,6216000000.0
Gross Profit,7231000000.0,6377000000.0,5488000000.0,4506000000.0
Operating Income,1024000000.0,499000000.0,183000000.0,-182000000.0
EBIT,1123000000.0,752000000.0,470000000.0,-158000000.0
EBITDA,1470000000.0,1078000000.0,752000000.0,206000000.0
Pretax Income,1009000000.0,638000000.0,356000000.0,-260000000.0
Net Income,693000000.0,526000000.0,1381000000.0,-367000000.0
Diluted EPS,2.59,1.95,5.21,-1.44
Interest Expense,114000000.0,114000000.0,114000000.0,102000000.0
Tax Provision,316000000.0,112000000.0,-1025000000.0,107000000.0
