,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,25204000000.0,22063000000.0,20426000000.0,19698000000.0
Gross Profit,10192000000.0,8680000000.0,7820000000.0,7404000000.0
Operating Income,4607000000.0,4149000000.0,3823000000.0,3428000000.0
EBIT,4338000000.0,4056000000.0,3521000000.0,3296000000.0
EBITDA,7201000000.0,6323000000.0,5592000000.0,5334000000.0
Pretax Income,3426000000.0,3458000000.0,3021000000.0,2918000000.0
Net Income,2708000000.0,2746000000.0,2304000000.0,2238000000.0
Diluted EPS,6.7,6.81,5.66,5.39
Interest Expense,912000000.0,598000000.0,500000000.0,378000000.0
Tax Provision,717000000.0,713000000.0,745000000.0,678000000.0
