,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Total Revenue,3074100000.0,2893200000.0,2949800000.0,2886900000.0,
Gross Profit,1104000000.0,998500000.0,1129200000.0,1136200000.0,
Operating Income,636100000.0,590900000.0,707400000.0,760800000.0,
EBIT,,588500000.0,707000000.0,687800000.0,757100000.0
EBITDA,772800000.0,743900000.0,844300000.0,808400000.0,
Pretax Income,600900000.0,585500000.0,698000000.0,679900000.0,
Net Income,493700000.0,492700000.0,593400000.0,585900000.0,
Diluted EPS,6.79,6.69,7.88,7.73,
Interest Expense,500000.0,3000000.0,9000000.0,7900000.0,
Tax Provision,121600000.0,107500000.0,122300000.0,114700000.0,
