,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Total Revenue,2438500000.0,2252200000.0,2056300000.0,1979500000.0
Gross Profit,1206000000.0,1062000000.0,960900000.0,874300000.0
Operating Income,471800000.0,397600000.0,356400000.0,325600000.0
EBIT,456600000.0,400700000.0,357700000.0,314600000.0
EBITDA,515000000.0,455100000.0,401000000.0,354300000.0
Pretax Income,445800000.0,386000000.0,349500000.0,307600000.0
Net Income,340800000.0,291200000.0,262100000.0,251500000.0
Diluted EPS,10.17,8.69,7.82,7.48
Interest Expense,10800000.0,14700000.0,8200000.0,7000000.0
Tax Provision,105000000.0,94800000.0,87400000.0,56100000.0
